label,message,message_length
1,goal arsenal henry v liverpool henry score simple shot yard pas bergkamp give arsenal goal margin min,155
0,said gon na snow start around pm tonite predicting inch accumulation,112
0,aah bless hows arm,26
0,oh k come tomorrow,28
0,whats happening gotten job begun registration permanent residency,104
0,quite ok bit ex u better go eat smth else ill feel guilty,74
1,want new video phone anytime network min inclusive video call downloads per week free deltomorrow call reply,157
0,dont want hear anything,28
0,hi kate u give ring asap xxx,41
0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance r ltdecimalgt transaction id kr ltgt,174
0,pls give food preferably pap slowly load sugar take hour give water slowly,147
0,mean still think teju,37
1,free st week nokia tone ur mobile every week txt nokia get txting tell ur mate wwwgetzedcouk pobox wwq normptone,162
0,hey next sun there basic yoga course bugis go pilate intro next sat tell time r free,138
1,new message please call,48
0,told coming wednesday,35
0,eatin lunch,17
0,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wish,174
1,send logo ur lover name joined heart txt love name name mobno eg love adam eve yahoo poboxwwq txtno ad p,159
1,get lion england tone reply lionm mono lionp poly go wwwringtonescouk original n best tone gbp network operator rate apply,155
0,tot u reach liao said tshirt,36
0,hellohow u doingwhat u u b moving flat co need arrange pick lamp etc take care hello caroline,152
0,weird know one point,51
1,chance win free bluetooth headset simply reply back adp,81
0,dai da send resume id,51
1,donate unicef asian tsunami disaster support fund texting donate added next bill,135
0,ummmmmaah many many happy return day dear sweet heart happy birthday dear,84
0,money issue weigh thanks breathe easier ill make sure dont regret thanks,121
0,watching surya movie pm vijay movie pokkiri,67
0,toshiba portege gd,27
0,ok lor wat time finish,25
1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network txting moan nyt eca pmsgp,159
1,datingi two started sent text talk sport radio last week connection think coincidence,139
0,whats coming hill monster hope great day thing r going fine busy though,120
0,sometimes put wall around heartsnot safe getting hurt find care enough break wall amp get closer goodnoon,162
0,nothing much chillin home super bowl plan,51
0,hope thats result consistently intelligent kind start asking practicum link keep ear open best ttyl,158
0,need drug anymore,29
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,120
0,shall come get pickle,26
0,hi im always online yahoo would like chat someday,70
0,buy blackberry bold torch buy new used let know plus saying buy ltgt g wifi ipad saying ltgt g,208
0,got c lazy type forgot lect saw pouch like v nice,85
0,kinda first one get twelve aah speak tomo,51
1,free camera phone linerental month cross ntwk min price txt bundle deal also avble call calloptoutj mf,152
0,yup song bro creative neva test quality said check review online,74
0,gorgeous keep pix cumming thank,54
0,hope good week checking,49
0,dear chechi talk,39
0,get step outta way congrats,45
0,thinking chuckin ur red green n black trainners save carryin bac train,92
0,den wat e schedule b lk sun,36
0,nice new shirt thing wear nudist themed mu,95
0,there point hangin mr right he makin u happy,68
0,hey free call,32
0,u wearing,17
0,aslamalaikkuminsha allah tohar beeen muht albi mufti mahfuuzmeaning,88
1,someone u know asked dating service contact cant guess call revealed po box wu,134
0,u lunch alone bored,39
0,u town alone,16
1,call send girl erotic ecstacy pmin stop text call nat rate,112
0,love come took long leave zahers got word ym happy see sad left miss,146
0,yeah got one lined u,32
0,he really skateboarding despite fact get thrown wind bandage shit arm every five minute,154
0,ok,9
0,mind ask happened dont say uncomfortable,80
0,maybe pressies,23
0,honeybee said im sweetest world god laughed amp said waitu havnt met person reading msg moral even god crack joke gmgngegn,158
0,got meh,16
0,otherwise part time job natuition,40
0,sbut luck catch put,44
1,brand new mobile music service live free music player arrive shortly install phone browse content top artist,157
0,sorry took long omw,32
0,lol grr mom taking forever prescription pharmacy like minute away ugh,92
0,de looking good,34
0,thk shd ok said plus minus leave line paragraph,84
0,uncle g checking rewarding month,59
0,nicenicehow working,28
0,good stuff,20
1,sport fan get latest sport news str ur mobile wk free plus free tone txt sport wwwgetzedcouk norm txtp,153
0,thinkin someone good drug,52
0,today going college able atten class,60
0,badrith chennaii surely pick usno competition,79
0,haha yeah oz kind shitload,37
0,reassuring crazy world,37
0,maybe say hi find got card great escape wetherspoons,80
0,gon na blake night might able get little early,93
0,sif one good partnership going take lead,61
0,oh getting even u u,34
0,didnt get hep b immunisation nigeria,45
0,watching house entertaining getting whole hugh laurie thing even stick indeed especially stick,136
0,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,281
1,ur cashbalance currently pound maximize ur cashin send cash pmsg cc po box tcrw,139
0,nice line said broken heart plz dont cum time infront wise trust u good,125
0,sorry never hear unless book one kinda jokethet really looking skinny white girl one lineyou much camera something like theyre casting look,230
0,sorry ill call later,22
0,dear know ltgt th ltgt th birthday loving gopalettan planning give small gift day like participate welcome please contact admin team detail,242
0,wewa iriver mb,36
0,ltgt ish minute minute ago wtf,45
0,eat fo lunch senor,32
0,dunno lei decide lor abt leona oops tot ben going n msg,79
0,prakesh know,22
0,much cost approx per month,41
1,free message activate free text message replying message word free term condition visit wwwcom,146
